[86, 645]
[143, 136]
[215, 459]
[218, 623]
[227, 189]
[230, 382]
[231, 291]
[236, 506]
[267, 671]
[286, 74]
[305, 551]
[307, 670]
[324, 86]
[324, 541]
[335, 560]
[366, 360]
[376, 439]
[382, 220]
[409, 631]
[412, 420]
[418, 576]
[422, 526]
[430, 607]
[452, 571]
[483, 588]
[491, 703]
[505, 564]
[548, 277]
[562, 577]
[572, 572]
[720, 593]
[727, 515]
[740, 623]
[747, 212]
[782, 522]
[791, 517]
[793, 620]
[802, 587]
[831, 422]
[858, 657]
[865, 474]
[868, 566]
[901, 412]
[929, 506]
[933, 107]
[419, 223]
[803, 365]
[941, 78]
[947, 681]
[971, 522]
