[86, 645],[143, 136],[215, 459]
[86, 645],[218, 623],[236, 506]
[86, 645],[267, 671],[218, 623]
[143, 136],[215, 459],[230, 382]
[143, 136],[227, 189],[231, 291]
[143, 136],[286, 74],[227, 189]
[215, 459],[236, 506],[86, 645]
[215, 459],[236, 506],[376, 439]
[218, 623],[305, 551],[267, 671]
[227, 189],[324, 86],[382, 220]
[227, 189],[382, 220],[231, 291]
[230, 382],[231, 291],[143, 136]
[230, 382],[231, 291],[366, 360]
[230, 382],[376, 439],[215, 459]
[231, 291],[366, 360],[382, 220]
[236, 506],[305, 551],[218, 623]
[236, 506],[324, 541],[376, 439]
[267, 671],[307, 670],[305, 551]
[267, 671],[307, 670],[491, 703]
[286, 74],[324, 86],[227, 189]
[286, 74],[324, 86],[941, 78]
[305, 551],[307, 670],[335, 560]
[305, 551],[324, 541],[236, 506]
[305, 551],[324, 541],[335, 560]
[307, 670],[335, 560],[409, 631]
[307, 670],[491, 703],[409, 631]
[324, 86],[382, 220],[419, 223]
[324, 86],[747, 212],[419, 223]
[324, 86],[747, 212],[941, 78]
[324, 541],[422, 526],[335, 560]
[335, 560],[409, 631],[418, 576]
[335, 560],[422, 526],[418, 576]
[366, 360],[376, 439],[230, 382]
[366, 360],[412, 420],[376, 439]
[366, 360],[412, 420],[548, 277]
[366, 360],[419, 223],[548, 277]
[376, 439],[412, 420],[422, 526]
[376, 439],[422, 526],[324, 541]
[382, 220],[419, 223],[366, 360]
[409, 631],[430, 607],[491, 703]
[412, 420],[422, 526],[505, 564]
[412, 420],[505, 564],[572, 572]
[412, 420],[572, 572],[548, 277]
[418, 576],[422, 526],[452, 571]
[418, 576],[430, 607],[409, 631]
[418, 576],[430, 607],[452, 571]
[422, 526],[452, 571],[505, 564]
[430, 607],[483, 588],[452, 571]
[430, 607],[483, 588],[491, 703]
[483, 588],[505, 564],[452, 571]
[483, 588],[562, 577],[491, 703]
[491, 703],[858, 657],[740, 623]
[491, 703],[858, 657],[947, 681]
[505, 564],[562, 577],[483, 588]
[505, 564],[562, 577],[572, 572]
[548, 277],[572, 572],[727, 515]
[548, 277],[727, 515],[803, 365]
[548, 277],[747, 212],[419, 223]
[548, 277],[747, 212],[803, 365]
[562, 577],[740, 623],[491, 703]
[562, 577],[740, 623],[572, 572]
[572, 572],[720, 593],[740, 623]
[572, 572],[727, 515],[720, 593]
[720, 593],[740, 623],[802, 587]
[720, 593],[782, 522],[727, 515]
[727, 515],[782, 522],[791, 517]
[727, 515],[831, 422],[791, 517]
[727, 515],[803, 365],[831, 422]
[740, 623],[793, 620],[802, 587]
[740, 623],[793, 620],[858, 657]
[747, 212],[933, 107],[941, 78]
[747, 212],[803, 365],[933, 107]
[782, 522],[802, 587],[720, 593]
[782, 522],[802, 587],[791, 517]
[791, 517],[802, 587],[868, 566]
[791, 517],[868, 566],[865, 474]
[793, 620],[802, 587],[858, 657]
[802, 587],[858, 657],[868, 566]
[831, 422],[865, 474],[791, 517]
[831, 422],[865, 474],[901, 412]
[831, 422],[803, 365],[901, 412]
[858, 657],[947, 681],[868, 566]
[865, 474],[901, 412],[929, 506]
[865, 474],[929, 506],[868, 566]
[868, 566],[929, 506],[971, 522]
[868, 566],[947, 681],[971, 522]
[901, 412],[929, 506],[971, 522]
[901, 412],[933, 107],[803, 365]
[901, 412],[933, 107],[971, 522]
[933, 107],[941, 78],[971, 522]
